Tanggal,Tavg,RR,ff_avg
2023-01-01,25.9,38.0,2.0
2023-01-02,27.2,134.4,3.0
2023-01-03,26.7,0.7,2.0
2023-01-04,27.0,3.2,2.0
2023-01-05,27.5,31.3,3.0
2023-01-06,29.2,1.5,4.0
2023-01-07,29.2,1.5,3.0
2023-01-08,27.5,0.0,4.0
2023-01-09,28.9,3.8,3.0
2023-01-10,29.6,0.0,3.0
2023-01-11,28.3,,1.0
2023-01-12,28.9,0.0,1.0
2023-01-13,29.4,0.0,1.0
2023-01-14,29.3,,2.0
2023-01-15,29.3,0.0,4.0
2023-01-16,29.0,0.0,3.0
2023-01-17,27.5,,3.0
2023-01-18,27.8,,2.0
2023-01-19,27.5,4.5,3.0
2023-01-20,28.4,0.2,2.0
2023-01-21,28.2,0.9,3.0
2023-01-22,28.9,0.0,4.0
2023-01-23,28.3,0.0,5.0
2023-01-24,28.8,,5.0
2023-01-25,27.0,0.8,4.0
2023-01-26,28.3,,3.0
2023-01-27,27.5,4.8,2.0
2023-01-28,25.8,30.5,2.0
2023-01-29,27.3,12.1,3.0
2023-01-30,28.2,,2.0
2023-01-31,28.1,0.0,3.0
2023-02-01,27.5,0.4,1.0
2023-02-02,28.0,82.5,2.0
2023-02-03,26.5,16.1,1.0
2023-02-04,28.2,0.2,3.0
2023-02-05,29.0,0.0,4.0
2023-02-06,29.3,,4.0
2023-02-07,28.1,0.0,2.0
2023-02-08,27.5,30.8,2.0
2023-02-09,27.0,0.3,4.0
2023-02-10,28.3,10.0,2.0
2023-02-11,27.9,4.9,3.0
2023-02-12,25.2,34.0,3.0
2023-02-13,28.2,2.0,3.0
2023-02-14,27.3,0.1,4.0
2023-02-15,28.7,0.0,4.0
2023-02-16,27.3,1.0,3.0
2023-02-17,26.9,16.3,2.0
2023-02-18,27.7,0.4,2.0
2023-02-19,27.9,2.5,3.0
2023-02-20,27.9,0.2,4.0
2023-02-21,27.7,2.3,3.0
2023-02-22,27.8,13.0,2.0
2023-02-23,27.3,85.1,3.0
2023-02-24,26.0,60.5,2.0
2023-02-25,27.5,54.7,4.0
2023-02-26,27.1,17.3,4.0
2023-02-27,27.8,46.5,4.0
2023-02-28,26.9,15.0,3.0
2023-03-01,26.7,11.0,2.0
2023-03-02,25.1,59.4,2.0
2023-03-03,27.4,10.8,1.0
2023-03-04,27.0,11.7,3.0
2023-03-05,27.2,0.6,3.0
2023-03-06,28.5,1.5,4.0
2023-03-07,28.1,,2.0
2023-03-08,26.8,40.0,2.0
2023-03-09,27.0,15.6,1.0
2023-03-10,28.3,6.5,2.0
2023-03-11,28.4,,1.0
2023-03-12,28.7,0.0,2.0
2023-03-13,28.5,,2.0
2023-03-14,27.1,16.2,3.0
2023-03-15,24.8,36.4,0.0
2023-03-16,27.6,18.5,1.0
2023-03-17,28.7,0.0,1.0
2023-03-18,28.6,0.0,2.0
2023-03-19,28.9,0.0,1.0
2023-03-20,29.1,,2.0
2023-03-21,28.9,0.4,1.0
2023-03-22,29.2,0.0,1.0
2023-03-23,29.7,,2.0
2023-03-24,29.9,0.0,1.0
2023-03-25,28.6,0.0,3.0
2023-03-26,27.4,3.2,2.0
2023-03-27,27.8,,1.0
2023-03-28,27.7,,1.0
2023-03-29,27.7,,1.0
2023-03-30,27.4,0.5,2.0
2023-03-31,28.5,14.4,4.0
2023-04-01,28.4,,4.0
2023-04-02,28.4,0.2,2.0
2023-04-03,28.5,0.0,3.0
2023-04-04,28.7,0.5,3.0
2023-04-05,28.8,,2.0
2023-04-06,29.7,,2.0
2023-04-07,29.2,0.0,2.0
2023-04-08,30.2,0.0,1.0
2023-04-09,29.0,0.0,3.0
2023-04-10,28.8,0.0,4.0
2023-04-11,28.9,2.0,6.0
2023-04-12,29.4,0.6,4.0
2023-04-13,29.6,,3.0
2023-04-14,28.5,,2.0
2023-04-15,29.3,17.0,2.0
2023-04-16,28.9,,2.0
2023-04-17,29.2,13.0,2.0
2023-04-18,28.8,16.9,2.0
2023-04-19,29.3,0.0,2.0
2023-04-20,29.6,,1.0
2023-04-21,29.4,0.5,2.0
2023-04-22,30.3,0.0,3.0
2023-04-23,30.0,0.0,2.0
2023-04-24,30.0,,2.0
2023-04-25,29.2,14.5,2.0
2023-04-26,29.2,,2.0
2023-04-27,29.9,,2.0
2023-04-28,29.3,11.7,1.0
2023-04-29,29.3,,1.0
2023-04-30,,0.0,
2023-05-01,29.1,,1.0
2023-05-02,29.5,0.0,2.0
2023-05-03,30.2,,2.0
2023-05-04,29.4,21.7,2.0
2023-05-05,29.8,1.5,2.0
2023-05-06,28.9,70.5,1.0
2023-05-07,28.7,,1.0
2023-05-08,29.2,,1.0
2023-05-09,30.7,,2.0
2023-05-10,30.3,0.0,3.0
2023-05-11,29.4,0.0,5.0
2023-05-12,31.0,,4.0
2023-05-13,29.8,0.0,2.0
2023-05-14,29.9,5.0,1.0
2023-05-15,29.3,,1.0
2023-05-16,29.8,0.0,2.0
2023-05-17,29.7,,3.0
2023-05-18,29.0,0.0,2.0
2023-05-19,30.1,,2.0
2023-05-20,29.6,0.0,2.0
2023-05-21,29.8,,2.0
2023-05-22,29.5,2.4,1.0
2023-05-23,29.6,,2.0
2023-05-24,29.5,0.0,2.0
2023-05-25,29.6,0.0,2.0
