Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23.8,29.8,25.9,93.0,38.0,1.3,6.0,280.0,2.0,C 
02-01-2023,23.4,30.0,27.2,88.0,134.4,0.1,5.0,290.0,3.0,W 
03-01-2023,25.0,29.0,26.7,83.0,0.7,1.1,7.0,260.0,2.0,W 
04-01-2023,24.6,30.6,27.0,88.0,3.2,0.1,5.0,270.0,2.0,W 
05-01-2023,23.6,31.6,27.5,84.0,31.3,3.5,4.0,310.0,3.0,W 
06-01-2023,24.8,33.7,29.2,76.0,1.5,2.9,6.0,260.0,4.0,W 
07-01-2023,27.2,33.4,29.2,77.0,1.5,6.4,7.0,270.0,3.0,W 
08-01-2023,26.4,31.2,27.5,82.0,0.0,9.2,7.0,250.0,4.0,W 
09-01-2023,26.4,32.0,28.9,80.0,3.8,5.3,6.0,270.0,3.0,W 
10-01-2023,26.8,33.2,29.6,74.0,0.0,8.4,6.0,270.0,3.0,W 
11-01-2023,26.4,31.0,28.3,77.0,,4.8,4.0,270.0,1.0,C 
12-01-2023,26.4,32.0,28.9,74.0,0.0,0.0,3.0,50.0,1.0,C 
13-01-2023,27.0,32.2,29.4,76.0,0.0,8.9,5.0,30.0,1.0,C 
14-01-2023,27.2,32.2,29.3,76.0,,6.4,4.0,350.0,2.0,C 
15-01-2023,26.6,33.0,29.3,74.0,0.0,8.8,8.0,270.0,4.0,W 
16-01-2023,26.8,31.6,29.0,75.0,0.0,7.1,6.0,300.0,3.0,W 
17-01-2023,27.0,29.1,27.5,82.0,,4.4,5.0,310.0,3.0,NW
18-01-2023,26.2,30.2,27.8,83.0,8888.0,0.1,5.0,310.0,2.0,NW
19-01-2023,25.6,,27.5,85.0,4.5,1.8,6.0,320.0,3.0,NW
20-01-2023,24.6,32.2,28.4,79.0,0.2,2.6,6.0,300.0,2.0,C 
21-01-2023,26.4,31.4,28.2,79.0,0.9,7.9,5.0,330.0,3.0,W 
22-01-2023,26.0,32.2,28.9,80.0,0.0,8.5,6.0,270.0,4.0,W 
23-01-2023,26.2,31.7,28.3,78.0,0.0,5.8,9.0,290.0,5.0,W 
24-01-2023,26.4,32.6,28.8,77.0,8888.0,4.6,7.0,270.0,5.0,W 
25-01-2023,25.4,29.7,27.0,82.0,0.8,7.5,7.0,270.0,4.0,W 
26-01-2023,25.7,30.8,28.3,81.0,8888.0,0.0,8.0,320.0,3.0,W 
27-01-2023,25.8,29.2,27.5,85.0,4.8,4.0,5.0,260.0,2.0,W 
