,Sea level (cm)
2023-01-01,176.15384615384616
2023-01-02,171.07638888888889
2023-01-03,167.58041958041957
2023-01-04,170.3793103448276
2023-01-05,176.53103448275863
2023-01-06,179.59154929577466
2023-01-07,184.8951048951049
2023-01-08,183.93706293706293
2023-01-09,185.6549295774648
2023-01-10,188.25352112676057
2023-01-11,184.7175572519084
2023-01-12,188.04964539007094
2023-01-13,191.6993006993007
2023-01-14,189.6642857142857
2023-01-15,186.6595744680851
2023-01-16,185.55944055944056
2023-01-17,184.0
2023-01-18,176.00709219858157
2023-01-19,176.6013986013986
2023-01-20,176.81428571428572
2023-01-21,184.86206896551724
2023-01-22,187.02142857142857
2023-01-23,183.21830985915494
2023-01-24,178.8881118881119
2023-01-25,180.22535211267606
2023-01-26,181.06993006993008
2023-01-27,178.5034965034965
2023-01-28,183.46153846153845
2023-01-29,191.1118881118881
2023-01-30,179.35416666666666
2023-01-31,183.70138888888889
2023-02-01,180.01398601398603
2023-02-02,181.08333333333334
2023-02-03,179.27972027972027
2023-02-04,185.27586206896552
2023-02-05,184.0211267605634
2023-02-06,183.38888888888889
2023-02-07,188.74305555555554
2023-02-08,183.94444444444446
2023-02-09,190.95138888888889
2023-02-10,188.8732394366197
2023-02-11,194.06206896551726
2023-02-12,184.36805555555554
2023-02-13,176.09027777777777
2023-02-14,180.78014184397162
2023-02-15,179.67832167832168
2023-02-16,178.33793103448275
2023-02-17,182.1448275862069
2023-02-18,180.03378378378378
2023-02-19,182.3125
2023-02-20,185.77083333333334
2023-02-21,187.86111111111111
2023-02-22,184.82517482517483
2023-02-23,180.97931034482758
2023-02-24,185.63698630136986
2023-02-25,178.17808219178082
2023-02-26,179.04895104895104
2023-02-27,180.67605633802816
2023-02-28,172.09722222222223
2023-03-01,170.63698630136986
2023-03-02,172.68965517241378
2023-03-03,178.33333333333334
2023-03-04,175.63636363636363
2023-03-05,170.6267605633803
2023-03-06,170.8661971830986
2023-03-07,178.5177304964539
2023-03-08,171.80141843971631
2023-03-09,169.80882352941177
2023-03-10,174.50704225352112
2023-03-11,178.48958333333334
2023-03-12,172.83333333333334
2023-03-13,174.20138888888889
2023-03-14,188.00689655172414
2023-03-15,187.06206896551726
2023-03-16,191.21985815602838
2023-03-17,191.81944444444446
2023-03-18,192.35416666666666
2023-03-19,196.68275862068967
2023-03-20,194.66923076923078
