Tavg,ff_avg,Sea level (cm),diff RR
27.2,3.0,171.0763889,96.4
26.7,2.0,167.5804196,-133.70000000000002
27.0,2.0,170.3793103,2.5
27.5,3.0,176.5310345,28.1
29.2,4.0,179.5915493,-29.8
29.2,3.0,184.8951049,0.0
27.5,4.0,183.9370629,-1.5
28.9,3.0,185.6549296,3.8
29.6,3.0,188.2535211,-3.8
28.3,1.0,184.7175573,0.0
28.9,1.0,188.0496454,0.0
29.4,1.0,191.6993007,0.0
29.3,2.0,189.6642857,0.0
29.3,4.0,186.6595745,0.0
29.0,3.0,185.5594406,0.0
27.5,3.0,184.0,1.5
27.8,2.0,176.0070922,1.5
27.5,3.0,176.6013986,1.5
28.4,2.0,176.8142857,-4.3
28.2,3.0,184.862069,0.7
28.9,4.0,187.0214286,-0.9
28.3,5.0,183.2183099,0.0
28.8,5.0,178.8881119,0.4
27.0,4.0,180.2253521,0.4
28.3,3.0,181.0699301,1.9999999999999998
27.5,2.0,178.5034965,2.0
25.8,2.0,183.4615385,25.7
27.3,3.0,191.1118881,-18.4
28.2,2.0,179.3541667,-6.05
28.1,3.0,183.7013889,-6.05
27.5,1.0,180.013986,0.4
28.0,2.0,181.0833333,82.1
26.5,1.0,179.2797203,-66.4
28.2,3.0,185.2758621,-15.900000000000002
29.0,4.0,184.0211268,-0.2
29.3,4.0,183.3888889,0.0
28.1,2.0,188.7430556,0.0
27.5,2.0,183.9444444,30.8
27.0,4.0,190.9513889,-30.5
28.3,2.0,188.8732394,9.7
27.9,3.0,194.062069,-5.1
25.2,3.0,184.3680556,29.1
28.2,3.0,176.0902778,-32.0
27.3,4.0,180.7801418,-1.9
28.7,4.0,179.6783217,-0.1
27.3,3.0,178.337931,1.0
26.9,2.0,182.1448276,15.3
27.7,2.0,180.0337838,-15.9
27.9,3.0,182.3125,2.1
27.9,4.0,185.7708333,-2.3
27.7,3.0,187.8611111,2.0999999999999996
27.8,2.0,184.8251748,10.7
27.3,3.0,180.9793103,72.1
26.0,2.0,185.6369863,-24.599999999999994
27.5,4.0,178.1780822,-5.799999999999997
27.1,4.0,179.048951,-37.400000000000006
27.8,4.0,180.6760563,29.2
26.9,3.0,172.0972222,-31.5
26.7,2.0,170.6369863,-4.0
25.1,2.0,172.6896552,48.4
27.4,1.0,178.3333333,-48.599999999999994
27.0,3.0,175.6363636,0.8999999999999986
27.2,3.0,170.6267606,-11.1
28.5,4.0,170.8661972,0.9
28.1,2.0,178.5177305,19.25
26.8,2.0,171.8014184,19.25
27.0,1.0,169.8088235,-24.4
28.3,2.0,174.5070423,-9.1
28.4,1.0,178.4895833,-3.25
28.7,2.0,172.8333333,-3.25
28.5,2.0,174.2013889,8.1
27.1,3.0,188.0068966,8.1
24.8,0.0,187.062069,20.2
27.6,1.0,191.2198582,-17.9
28.7,1.0,191.8194444,-18.5
28.6,2.0,192.3541667,0.0
28.9,1.0,196.6827586,0.0
29.1,2.0,194.6692308,0.2
28.9,1.0,194.6241135,0.2
29.2,1.0,201.3546099,-0.4
29.7,2.0,203.958042,0.0
29.9,1.0,204.9929078,0.0
28.6,3.0,201.8263889,0.0
27.4,2.0,190.3591549,3.2
27.8,1.0,192.4042553,-0.6750000000000003
27.7,1.0,191.1285714,-0.6749999999999998
27.7,1.0,193.952381,-0.675
27.4,2.0,189.2167832,-0.675
28.5,4.0,188.4482759,13.9
28.4,4.0,185.8461538,-7.1000000000000005
28.4,2.0,191.5833333,-7.1
28.5,3.0,192.3028169,-0.2
